Account Name,VM UUID,VM Name,VM Type,Power State,CPUs,Storage Capacity,Memory,Reserved Memory,Is CVM,Last Reported,Theater,Region,Sub Region,Cluster UUID,Cluster Name,Node UUID,Node Serial Number,Hypervisor Type,Guest OS
"Petronas Energy Canada Ltd",4d2ac314-79b3-4407-b71d-c4c01d3bdee0,"C72A-IO01","kGuestVM","on",4,365 GiB,12 GiB,12 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",dee92ad4-7996-4b85-909f-55007d09a1eb,"OM23AS019405","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",238b3f3f-1208-4d07-bd11-cf4056fb3c14,"C72A-MGMT01","kGuestVM","on",4,75 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",d217685e-05e0-4a47-bcac-1620fc520f24,"OM23AS019297","AHV","Not Found"
"Petronas Energy Canada Ltd",502c4f13-7192-4dd3-92ae-da992056aaeb,"C72A-MP01","kGuestVM","on",4,80 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",fad4c724-00cd-4d1d-8012-0233e4886cf9,"OM23AS019388","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",9056f3c2-bab8-44f0-8d2e-02470e2c264f,"C72A-NTXFDN","kGuestVM","off",2,80 GiB,8 GiB,0.00 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",-,"-","-","Not Found"
"Petronas Energy Canada Ltd",1ed8aa88-3a1f-4aab-8735-222977a6e513,"C72A-PI01","kGuestVM","on",2,200 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",dee92ad4-7996-4b85-909f-55007d09a1eb,"OM23AS019405","AHV","Not Found"
"Petronas Energy Canada Ltd",87556f9c-e140-449b-90af-cc0754aa235b,"C72A-PI02","kGuestVM","on",2,180 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",fad4c724-00cd-4d1d-8012-0233e4886cf9,"OM23AS019388","AHV","Not Found"
"Petronas Energy Canada Ltd",a8511cbf-4889-455a-9693-7d02211f9457,"C72APXY","kGuestVM","on",8,100 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",d217685e-05e0-4a47-bcac-1620fc520f24,"OM23AS019297","AHV","Not Found"
"Petronas Energy Canada Ltd",bffd99a2-68d5-4a2e-afa7-75ad0b303f44,"C72A-VEEAMRP01","kGuestVM","on",4,2860 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",fad4c724-00cd-4d1d-8012-0233e4886cf9,"OM23AS019388","AHV","Not Found"
"Petronas Energy Canada Ltd",dc942ed6-e44f-4687-a28a-c5625d83c172,"CALAAA02","kGuestVM","on",2,80 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",bf0913ca-6ab5-4b46-a86d-0cd8af510c83,"HM23AS001353","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",3fbab822-0402-4408-a5a6-6a988c0c2ce1,"CALAAD01","kGuestVM","on",1,96 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",c30798b8-1840-4fea-850f-73c00773df10,"HM23AS001356","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",8d19659b-87b9-4906-b281-f85381777b04,"CALAAD02","kGuestVM","on",1,70 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c1d-becb-2afa-265f-ac1f6b3586c9,"CG2NTX01",96af6677-a7d6-48ae-8c97-838a15aac0c3,"HM23AS001386","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",50344ca7-eaf2-4647-8f28-538765aecded,"CALAE01","kGuestVM","on",2,130 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",626f2358-c582-4bf3-8c87-8c16ef6efcb3,"HM23AS001372","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",ea4d978e-53d1-4521-898d-25ace3692f9c,"CALAPPS02","kGuestVM","on",4,200 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",77358912-ebc3-4b95-b9cc-7f80069388a5,"HM236S002456","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",00f3cdf8-807b-4777-b741-cf03cc9a337e,"CALAPPS03","kGuestVM","on",4,140 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",bf0913ca-6ab5-4b46-a86d-0cd8af510c83,"HM23AS001353","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",f734484d-7d8b-4c44-b21d-9208c7bdf29c,"CALAPPS04","kGuestVM","on",4,150 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",27991521-c2c8-4b09-9cf8-95acdfe5187e,"HM236S002581","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",3e74b304-4a5f-4b03-865a-38c7223e45db,"CALAPPS06","kGuestVM","on",2,95 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",77358912-ebc3-4b95-b9cc-7f80069388a5,"HM236S002456","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",38f320fc-0402-43d4-839c-4a8fb9cfcee0,"CALAPPS07","kGuestVM","on",2,95 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",bf0913ca-6ab5-4b46-a86d-0cd8af510c83,"HM23AS001353","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",7fe9d8ed-b788-4ecb-8f0f-e941d0e1f436,"CALAPPS08","kGuestVM","on",4,520 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",c30798b8-1840-4fea-850f-73c00773df10,"HM23AS001356","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",08c757d3-da1a-465a-8d91-0d9a1e14c205,"CALAPPSFME01","kGuestVM","on",2,100 GiB,32 GiB,32 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",27991521-c2c8-4b09-9cf8-95acdfe5187e,"HM236S002581","AHV","windows:64:WindowsServer2022Datacenter"
"Petronas Energy Canada Ltd",8bb503d7-77a6-4343-a674-5de16b926261,"CALAPPSTST03","kGuestVM","on",2,130 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",bf0913ca-6ab5-4b46-a86d-0cd8af510c83,"HM23AS001353","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",e2ae21dd-3a0e-4e81-83da-7f395e67598e,"CALARS01","kGuestVM","on",16,120 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",bf0913ca-6ab5-4b46-a86d-0cd8af510c83,"HM23AS001353","AHV","Not Found"
"Petronas Energy Canada Ltd",9d95e681-758f-4006-8ded-98da6b1cde44,"CALARS02","kGuestVM","on",4,80 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",bf0913ca-6ab5-4b46-a86d-0cd8af510c83,"HM23AS001353","AHV","Not Found"
"Petronas Energy Canada Ltd",fa651e41-764f-49df-a295-76a9b255d5e6,"CALCA04","kGuestVM","on",2,85 GiB,4 GiB,4 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",4b598316-5a42-4cf6-b25b-ba94696fb131,"HM23AS001453","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",ab2b7c56-bae4-4d97-909e-f9acb509c4cd,"CALCF02- Replacement server for CALCF01","kGuestVM","on",8,80 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",626f2358-c582-4bf3-8c87-8c16ef6efcb3,"HM23AS001372","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",a5c07ccb-a603-47d2-ad29-c9c79f7ff74c,"CALCG1FW01","kGuestVM","on",2,60 GiB,6 GiB,6 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",c30798b8-1840-4fea-850f-73c00773df10,"HM23AS001356","AHV","Not Found"
"Petronas Energy Canada Ltd",dd7a6790-1106-40ae-b26f-6cbff5b5a0a7,"CALCG1FW02","kGuestVM","on",2,60 GiB,6 GiB,6 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",77358912-ebc3-4b95-b9cc-7f80069388a5,"HM236S002456","AHV","Not Found"
"Petronas Energy Canada Ltd",f6960672-c051-443c-baa6-c7eadeddffaa,"CALCG2FW01","kGuestVM","on",2,60 GiB,6 GiB,6 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c1d-becb-2afa-265f-ac1f6b3586c9,"CG2NTX01",0f4501e1-351e-4d98-b4b7-cfe4af851943,"HM249S000953","AHV","Not Found"
"Petronas Energy Canada Ltd",75ffad32-a28a-4ae8-9bd9-7d02e5561e49,"CALCG2FW02","kGuestVM","on",2,60 GiB,6 GiB,6 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c1d-becb-2afa-265f-ac1f6b3586c9,"CG2NTX01",aea713d0-2375-4a8f-8109-7f731dca8ce5,"HM214S004518","AHV","Not Found"
"Petronas Energy Canada Ltd",1d3d8571-a8ec-4790-82cc-d3645a5eae0b,"CALCHARTPROD01","kGuestVM","on",2,70 GiB,12 GiB,12 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",626f2358-c582-4bf3-8c87-8c16ef6efcb3,"HM23AS001372","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",ff011fb0-f987-4483-ac20-4a64042e89ad,"CALCHARTTEST","kGuestVM","on",2,70 GiB,12 GiB,12 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",4b598316-5a42-4cf6-b25b-ba94696fb131,"HM23AS001453","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",f3ce29dd-0e82-4966-b39e-6b28e0824f96,"CALCM01","kGuestVM","on",4,2289 GiB,36 GiB,36 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",25740bea-108b-4f8a-8ac4-b504519e3f61,"HM249S000862","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",f4c15576-dcb7-4c56-ad38-dc6cb861730b,"CALCM04","kGuestVM","on",4,825 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",25740bea-108b-4f8a-8ac4-b504519e3f61,"HM249S000862","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",7251ded7-e7e8-405d-b933-4b61a8958d35,"CALCTXDDC03","kGuestVM","on",4,90 GiB,6 GiB,6 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",c30798b8-1840-4fea-850f-73c00773df10,"HM23AS001356","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",85041f9b-62c3-4f5a-8269-d6bd5dd2794c,"CALCTXDDC04","kGuestVM","on",4,120 GiB,6 GiB,6 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",626f2358-c582-4bf3-8c87-8c16ef6efcb3,"HM23AS001372","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",d3b31496-e519-4217-b494-623b146417b2,"CALCTXGOLD02","kGuestVM","on",4,145 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",27991521-c2c8-4b09-9cf8-95acdfe5187e,"HM236S002581","AHV","Not Found"
"Petronas Energy Canada Ltd",18fe4547-8469-4583-b41e-de690dc1bfa1,"CALCTXGOLD03","kGuestVM","on",4,210 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",bf0913ca-6ab5-4b46-a86d-0cd8af510c83,"HM23AS001353","AHV","Not Found"
"Petronas Energy Canada Ltd",97ebff76-55d9-4ed7-9baa-a2128fc64af7,"CALCTXVDAPRD01","kGuestVM","on",4,145 GiB,15 GiB,15 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",c30798b8-1840-4fea-850f-73c00773df10,"HM23AS001356","AHV","Not Found"
"Petronas Energy Canada Ltd",a7d9e656-2826-4a48-bd8a-d364c0e3bad6,"CALCTXVDAPRD02","kGuestVM","on",4,145 GiB,15 GiB,15 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",c30798b8-1840-4fea-850f-73c00773df10,"HM23AS001356","AHV","Not Found"
"Petronas Energy Canada Ltd",da4dffcb-d141-427b-b320-a0a7f97bc73e,"CALCTXVDAPRD03","kGuestVM","on",4,145 GiB,15 GiB,15 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",27991521-c2c8-4b09-9cf8-95acdfe5187e,"HM236S002581","AHV","Not Found"
"Petronas Energy Canada Ltd",e2ca6085-c32e-4d11-8b50-b9d97bd69132,"CALCTXVDAPRD04","kGuestVM","on",4,145 GiB,15 GiB,15 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",5943e914-31d0-407f-8669-ce76a1106ff6,"HM236S007306","AHV","Not Found"
"Petronas Energy Canada Ltd",f171d181-b207-467c-a40b-643fd5350ae6,"CALCTXVDAPRD05","kGuestVM","on",4,145 GiB,15 GiB,15 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",626f2358-c582-4bf3-8c87-8c16ef6efcb3,"HM23AS001372","AHV","Not Found"
"Petronas Energy Canada Ltd",d34bb074-4824-4431-af99-2ccb4334af51,"CALCTXVDATST01","kGuestVM","on",4,145 GiB,32 GiB,32 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",27991521-c2c8-4b09-9cf8-95acdfe5187e,"HM236S002581","AHV","Not Found"
"Petronas Energy Canada Ltd",a9e5401f-aabb-4a4e-86f1-15c2fa0dd579,"CALCTXVDATST02","kGuestVM","on",4,145 GiB,15 GiB,15 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",27991521-c2c8-4b09-9cf8-95acdfe5187e,"HM236S002581","AHV","Not Found"
"Petronas Energy Canada Ltd",fcc6a782-4645-4dbc-b1e9-2750c9add194,"CALCTXVDATST03","kGuestVM","on",4,145 GiB,15 GiB,15 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",5943e914-31d0-407f-8669-ce76a1106ff6,"HM236S007306","AHV","Not Found"
"Petronas Energy Canada Ltd",8de6f6e4-4c8d-42c4-9693-ffef9ae169a3,"CALCURATE01","kGuestVM","on",4,500 GiB,32 GiB,32 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",27991521-c2c8-4b09-9cf8-95acdfe5187e,"HM236S002581","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",32e942dc-de5e-43b1-af3e-997ea486536b,"CALDART01","kGuestVM","on",8,600 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",25740bea-108b-4f8a-8ac4-b504519e3f61,"HM249S000862","AHV","Not Found"
"Petronas Energy Canada Ltd",907bb701-123f-4605-b4f6-487235ba8bcc,"CALDC10","kGuestVM","on",4,95 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",77358912-ebc3-4b95-b9cc-7f80069388a5,"HM236S002456","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",1a7864ef-4c8e-434b-9d88-87cb135c8599,"CALDC11","kGuestVM","on",4,80 GiB,12 GiB,12 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",c30798b8-1840-4fea-850f-73c00773df10,"HM23AS001356","AHV","windows:64:WindowsServer2022Datacenter"
"Petronas Energy Canada Ltd",4665702c-3872-4743-974b-50dc9e08c82e,"CALDC12","kGuestVM","on",4,85 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c1d-becb-2afa-265f-ac1f6b3586c9,"CG2NTX01",f9b50bd2-801d-4f5b-9b05-11e605168cf7,"HM23AS001337","AHV","Not Found"
"Petronas Energy Canada Ltd",ee0f612a-ad33-4414-82af-264c838b2b8f,"CALDC14","kGuestVM","on",4,80 GiB,12 GiB,12 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c1d-becb-2afa-265f-ac1f6b3586c9,"CG2NTX01",0bc68aa1-6b2f-4f20-b36f-c437e9c09a6a,"HM23AS001367","AHV","windows:64:WindowsServer2022Datacenter"
"Petronas Energy Canada Ltd",9bc610c2-ce69-4403-9c2a-c77dad8e5ce8,"CALDC2022TEST","kGuestVM","on",4,80 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",25740bea-108b-4f8a-8ac4-b504519e3f61,"HM249S000862","AHV","Not Found"
"Petronas Energy Canada Ltd",2b08340f-99d7-4436-b582-eb34323b6d03,"CALDC2022TEST2","kGuestVM","on",4,80 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",25740bea-108b-4f8a-8ac4-b504519e3f61,"HM249S000862","AHV","Not Found"
"Petronas Energy Canada Ltd",4aa7adb7-6f84-44f9-9f9d-214df5d4da8c,"CALDEV01","kGuestVM","on",4,1140 GiB,32 GiB,32 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00059c0d-e562-6375-7211-ac1f6b356611,"CG1NTX01",4b598316-5a42-4cf6-b25b-ba94696fb131,"HM23AS001453","AHV","Not Found"
