Account Name,Serial Number,Node Serial Number,Cluster Name,Cluster UUID,Account Executive,Account Executive Email,Asset Model,Asset Age,Model Family,Asset Status,Node Count (Operational),Node Count (Assets),AOS Version,Node License Mode,Hypervisor Type,Hypervisor Version,Install Location,Ship Date,Last Pulse Date,SSD Capacity (In TiB),SSD Capacity (In TB),HDD Capacity (In TiB),HDD Capacity (In TB),CPU Core Count,Contract Coverage,Contract Status,Contract Start Date,Contract End Date,Break Fix Contact Phone,Break Fix Contact Email,Asset EOL,Asset EOM,Order Type,Region,Sub Region,Incumbent Reseller,Incumbent Distributor,Cluster Tag,Sales Order,Asset Tag (Internal),Install Country,Install Zip,Install Base Address,Prior Contract End Date
"WhiteCap Resources",17FM6G460108,"-","WC-WEYNTNX01",00055fc8-1df2-ef0f-2a66-ac1f6b1caee4,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1365S-G5,7,"NX-1000","Shipped",-,3,"6.5.3.7",NX,"AHV","Nutanix 20220304.423","Weyburn",2017-12-01,2024-03-05 00:00,2.62 TiB,2.88 TB,52.78 TiB,48 TB,36,"Production: 24x7 service; NBD parts",EXPIRED,2017-12-01,2023-10-31,"+1 4038172197","ryan.kuffler@wcap.ca",Oct 2023,Apr 2022,"Revenue","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-036409","-","CANADA (CA)","-","F79R+PCQ, Weyburn, Saskatchewan, CANADA (CA)","-"
"WhiteCap Resources",19SM59050144,"NM191S027231","WC-KWA-NXA",000581e3-76ec-96d8-0000-000000027cc9,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,6,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Kakwa",2019-02-12,2025-10-23 00:00,1.75 TiB,1.92 TB,17.59 TiB,16 TB,8,"Production: 24x7 service; NBD parts",EXPIRED,2019-02-12,2025-01-05,"+1 4038172197","ryan.kuffler@wcap.ca",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-053886","-","CANADA (CA)","-","956398G8+97, Kakwa, Alberta, CANADA (CA)","-"
"WhiteCap Resources",19SM59050146,"NM191S027068","WC-SWC-NXA",00063ca9-807d-dcef-0000-000000027ccb,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,6,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Swift Current",2019-02-12,2025-10-23 00:00,1.75 TiB,1.92 TB,17.59 TiB,16 TB,8,"Production: 24x7 service; NBD parts",EXPIRED,2019-02-12,2025-01-05,"+1 4038172197","ryan.kuffler@wcap.ca",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-053886","-","CANADA (CA)","S9H 4Y9","1071 CENTRAL AVE N, Swift Current, Saskatchewan, CANADA (CA), S9H 4Y9","-"
"WhiteCap Resources",19SM59310202,"OM196S020623","WC-BDLNTNX01",0005902b-e433-72e8-0000-00000002a6e3,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,6,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Goodlow",2019-08-08,2025-10-23 00:00,1.75 TiB,1.92 TB,17.59 TiB,16 TB,8,"Production: 24x7 service; NBD parts",EXPIRED,2019-08-08,2025-01-05,"+1 4038172197","ryan.kuffler@wcap.ca",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-062283","-","CANADA (CA)","V0C 1S0","248 RD, Goodlow, British Columbia, CANADA (CA), V0C 1S0","-"
"WhiteCap Resources",19SM59310210,"OM196S020694","WC-RMHNTNX01",0005902a-f77c-9576-0000-00000002a6eb,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,6,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Rocky Mountain House",2019-08-08,2025-10-23 00:00,1.75 TiB,1.92 TB,17.59 TiB,16 TB,8,"Production: 24x7 service; NBD parts",EXPIRED,2019-08-08,2025-01-05,"+1 4038172197","ryan.kuffler@wcap.ca",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-062283","-","CANADA (CA)","T0M 0C0","72PH+XP, Rocky Mountain House, Alberta, CANADA (CA), T0M 0C0","-"
"WhiteCap Resources",19SM59520478,"OM19BS011190","WC-GLNNTNX01",0005a0fe-ace6-1f1b-0000-00000002b8a5,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,5,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Gull Lake",2020-01-29,2025-10-23 00:00,1.75 TiB,1.92 TB,17.59 TiB,16 TB,8,"Production: 24x7 service; NBD parts",Under Support,2020-01-29,2025-12-31,"+1 4038172197","ryan.kuffler@wcap.ca",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-071464","-","CANADA (CA)","-","5C4X+4X4, Gull Lake, Saskatchewan, CANADA (CA)","2025-01-05"
"WhiteCap Resources",19SM59520518,"OM19BS009004","WC-CYNNTNX01",00059f6d-e733-a513-0000-00000002b8cd,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,5,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Cynthia",2020-01-29,2025-10-23 00:00,1.75 TiB,1.92 TB,17.59 TiB,16 TB,8,"Production: 24x7 service; NBD parts",Under Support,2020-01-29,2025-12-31,"+1 4038172197","ryan.kuffler@wcap.ca",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-071464","-","CANADA (CA)","-","7HJG+M39, Cynthia, Alberta, CANADA (CA)","2025-01-05"
"WhiteCap Resources",19SW000078841,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-3YR,6,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-02-14,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-02-14,2025-01-05,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-053886","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",19SW000083794,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-5YR,6,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-04-03,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-04-03,2025-04-01,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-055775","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",19SW000099675,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-ADVREP-PRD-1YR,6,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-07-30,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-07-30,2025-01-05,"-","-",-,-,"SW Only","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-062273","-","CANADA (CA)","T2P 1G1","3800-525 8 AVE SW, Calgary, AB, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",19SW000099676,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-ADVREP-PRD-1YR,6,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-07-30,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-07-30,2025-01-05,"-","-",-,-,"SW Only","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-062273","-","CANADA (CA)","T2P 1G1","3800-525 8 AVE SW, Calgary, AB, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",19SW000102288,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-3YR,6,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-08-08,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-08-08,2025-01-05,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-062283","-","CANADA (CA)","T2P 1G1","3800-525 8 AVE SW, Calgary, AB, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",20SW000126832,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-3YR,5,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2020-01-29,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2020-01-29,2025-01-05,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-071464","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",20SW000161256,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-FILES-AOS-1TiB-PRD-1YR,5,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2020-10-19,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2020-10-19,2024-01-05,"-","-",-,-,"SW Only","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-091795","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",21FM5E140099,"OM212S028857","WC-WEY-NXA",0005c575-5610-8b63-6cd3-3cecef5abbeb,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G7-CM,4,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Weyburn",2021-04-09,2025-10-23 00:00,6.98 TiB,7.68 TB,17.59 TiB,16 TB,12,"Production: 24x7 service; NBD parts",Under Support,2021-04-09,2026-04-07,"+1 4038172197","ryan.kuffler@wcap.ca",Jun 2027,Dec 2025,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-101937","-","CANADA (CA)","-","F79R+PCQ, Weyburn, Saskatchewan, CANADA (CA)","2025-04-08"
"WhiteCap Resources",21FM5E140100,"OM212S028937","WC-WEY-NXA",0005c575-5610-8b63-6cd3-3cecef5abbeb,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G7-CM,4,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Weyburn",2021-04-09,2025-10-23 00:00,6.98 TiB,7.68 TB,17.59 TiB,16 TB,12,"Production: 24x7 service; NBD parts",Under Support,2021-04-09,2026-04-07,"+1 4038172197","ryan.kuffler@wcap.ca",Jun 2027,Dec 2025,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-101937","-","CANADA (CA)","-","F79R+PCQ, Weyburn, Saskatchewan, CANADA (CA)","2025-04-08"
"WhiteCap Resources",21FM5E140102,"OM212S028838","WC-WEY-NXA",0005c575-5610-8b63-6cd3-3cecef5abbeb,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G7-CM,4,"NX-1175S","Shipped",1,1,"6.10.1",NX-SWO,"AHV","20230302","Weyburn",2021-04-09,2025-10-23 00:00,6.98 TiB,7.68 TB,17.59 TiB,16 TB,12,"Production: 24x7 service; NBD parts",Under Support,2021-04-09,2026-04-07,"+1 4038172197","ryan.kuffler@wcap.ca",Jun 2027,Dec 2025,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-101937","-","CANADA (CA)","-","F79R+PCQ, Weyburn, Saskatchewan, CANADA (CA)","2025-04-08"
"WhiteCap Resources",21SG5A460193,"OM216S045998","WC-CGY-NXA",00058a79-b337-8078-3fd2-ac1f6b5c4da0,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8155-G7-CM,3,"NX-8000","Shipped",-,1,"6.10.1",NX-SWO,"AHV","Nutanix 20230302.103003","Calgary",2022-01-10,2025-06-23 00:00,20.95 TiB,23.04 TB,0.00 TiB,0 TB,16,"Production: 24x7 service; NBD parts",EXPIRED,2022-01-10,2025-01-09,"+1 4038172197","ryan.kuffler@wcap.ca",Mar 2027,Sep 2025,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-117914","-","CANADA (CA)","T2C 3C2","7007 54 ST SE, UNIT 204, BUILDING D, Calgary, Alberta, CANADA (CA), T2C 3C2","-"
"WhiteCap Resources",21SM5A100291,"OM212S007928","WC-CGY-NXA",00058a79-b337-8078-3fd2-ac1f6b5c4da0,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8155-G7-CM,4,"NX-8000","Shipped",-,1,"6.10.1",NX-SWO,"AHV","Nutanix 20230302.103003","Calgary",2021-03-15,2025-06-23 00:00,20.95 TiB,23.04 TB,0.00 TiB,0 TB,16,"Production: 24x7 service; NBD parts",Under Support,2021-03-15,2026-03-14,"+1 4038172197","ryan.kuffler@wcap.ca",Mar 2027,Sep 2025,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-100956","-","CANADA (CA)","T2C 3C2","7007 54 ST SE, UNIT 204, BUILDING D, Calgary, Alberta, CANADA (CA), T2C 3C2","2025-03-14"
"WhiteCap Resources",21SW000173178,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-3YR,4,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2021-01-06,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2021-01-06,2025-01-06,"-","-",-,-,"SW Only","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-097353","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",21SW000173179,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-3YR,4,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2021-01-06,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2021-01-06,2025-01-06,"-","-",-,-,"SW Only","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-097355","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",21SW000179742,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-FILES-AOS-1TiB-PRD-1YR,4,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2021-02-18,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2021-02-18,2024-01-05,"-","-",-,-,"SW Only","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-099971","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, AB, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",21SW000182936,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-3YR,4,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2021-03-15,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2021-03-15,2025-03-14,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-100956","-","CANADA (CA)","T2C 4M4","7007 54 ST SE, Calgary, Alberta, CANADA (CA), T2C 4M4","-"
"WhiteCap Resources",21SW000186223,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-3YR,4,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2021-04-09,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2021-04-09,2025-04-09,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-101937","-","CANADA (CA)","T2P 1G1","3800, 525 - 8th Avenue SW, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
