Cluster Name,Cluster UUID,Account Name,Account Executive Email,Account Executive,Theater,Region,Sub-Region,Storage Container Name,Storage Container UUID,Storage Pool Name,Storage Pool UUID,Compression Type,Finger Print Enabled,Replication Factor,Compression Enabled,Deduplication Enabled,Erasure Coding Enabled,Implicit Reserved Capacity (In TiB),Explicit Reserved Capacity (In TiB),Dedup Policy,Erasure Code,AOS/PC Version,NCC Version,Cluster Fault Tolerance,Last Pulse
"iplp2-nutanixcls01",00060f8d-51ce-5480-7165-7cc255072a2e,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,7ea71fa6-f35e-4fd2-a70d-657057468417,default-storage-pool-61671650496970,98761bfe-80e8-4777-a7e4-a1de0771b13a,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.0.1.1","FT1/RF2",2025-10-23
"iplp2-nutanixcls01",00060f8d-51ce-5480-7165-7cc255072a2e,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,908f4686-7556-4a88-83cc-354047ee99b9,default-storage-pool-61671650496970,98761bfe-80e8-4777-a7e4-a1de0771b13a,0.0,False,2,True,False,False,-,-,-,-,"6.10.1.5","5.0.1.1","FT1/RF2",2025-10-23
"ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,99a5eb97-eb66-4d6e-bb87-0edb377b728a,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1.5","5.1.2","FT1/RF2",2025-10-23
"iplsp-nutanixcls01",00060e87-b089-acec-47b7-00e0ededb161,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,Nutanix_iplsp-ntnxfs01_ctr,9ac826ce-8543-44b1-bbb1-1fbaa46899d1,default-storage-pool-724999805112,e54aa3cb-92ce-47bf-9064-a1611d83a668,0.0,False,2,True,False,False,-,-,0.0,-,"6.10.1.5","5.1.1","FT1/RF2",2025-10-23
"iplhpc-nutanixcls01",00062b22-51fd-bd09-3dc3-7cc255815dc7,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,9d77788a-5fae-47de-988f-dc4536c01a36,default-storage-pool-24183928857892,785f51fb-070f-41b7-978f-4b0c19652dd5,0.0,False,2,True,False,False,-,-,-,-,"6.10","5.1.2","FT1/RF2",2025-10-23
"AZ-NC2CLS01",0006274a-7999-8126-4f01-6ebc42cd4bf1,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,a196dd74-7635-4685-b87c-845a326e5bb5,default-storage-pool-68617457451135,7877e961-8d5b-46a1-b518-44ba40b9b641,-,False,2,False,False,False,-,-,-,-,"7.3","5.2.0","FT1/RF2",2025-10-23
"ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,Nutanix_ipl-nutanixfs01_ctr,a41f3ead-34d2-4828-9528-6af592f25102,Not Found,Not Found,0.0,False,2,True,False,True,-,0,0.0,*/1,"6.10.1.5","5.1.2","FT1/RF2",2025-10-23
"iplp1-nutanixcls01",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-68902713866448,ca5c25b7-cbaa-48e6-831e-48f0aa158a45,default-storage-pool-68902713866448,9a57f664-bd49-49c7-9cea-d3147f012d5c,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.1.1","FT1/RF2",2025-10-23
"iplrw-nutanixcls01",00062bb0-c88d-f6ed-39fb-7cc255e9ad65,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-54207766752030,da631be4-81b0-439b-88f8-a29f4c0d6698,default-storage-pool-54207766752030,86f777aa-054c-4778-ba94-d79aa6c5aef3,-,False,2,False,False,False,-,-,-,-,"6.10","5.0.1.1","FT1/RF2",2025-10-23
"ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,eb39644e-243d-40a5-8d2e-d66b29ca55e8,Not Found,Not Found,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.1.2","FT1/RF2",2025-10-23
"iplsp-nutanixcls01",00060e87-b089-acec-47b7-00e0ededb161,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,eec89f6f-fa66-4dd5-90e6-8efe8e6c8433,default-storage-pool-724999805112,e54aa3cb-92ce-47bf-9064-a1611d83a668,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.1.1","FT1/RF2",2025-10-23
